Well,SampleID,Mass/Charge,Height,Width
A05,18-342-401185,3913.2001,1190.2398,5.92909106060606
A05,18-342-401185,4155.6354,2101.7429,6.29641727272727
A05,18-342-401185,4171.6347,812.0974,6.32065863636364
A05,18-342-401185,4187.634,230.4461,6.3449
A05,18-342-401185,4436.6328,83.236,6.72217090909091
A05,18-342-401185,4774.0303,315.7708,7.23337924242424
A05,18-342-401185,4790.0296,19.6989,7.25762060606061
A05,18-342-401185,4806.0289,620.6114,7.28186196969697
A05,18-342-401185,4822.0282,1079.0756,7.30610333333333
A05,18-342-401185,4938.2795,120.8449,7.48224166666667
A05,18-342-401185,4978.1021,271.0138,7.54257893939394
A05,18-342-401185,5018.3,169.8041,7.60348484848485
A05,18-342-401185,5312.376,273.6469,8.04905454545455
A05,18-342-401185,5328.3753,42.716,8.07329590909091
A05,18-342-401185,5344.3746,49.8093,8.09753727272727
A05,18-342-401185,5360.3739,1577.7873,8.12177863636364
A05,18-342-401185,5556.6245,167.0829,8.41912803030303
A05,18-342-401185,5596.8608,220.8202,8.48009212121212
A05,18-342-401185,6176.1187,88.3307,9.35775560606061
A05,18-342-401185,6983.6985,418.3999,10.5813613636364
A06,18-344-400795,1192.7476,0,1.80719333333333
A06,18-344-400795,1249.3427,110.2576,1.89294348484848
A06,18-344-400795,1632.2453,60.1087,2.47309893939394
A06,18-344-400795,1770.04,94.3218,2.68187878787879
A06,18-344-400795,1853.1688,48.8431,2.80783151515152
A06,18-344-400795,1930.3186,121.7386,2.92472515151515
A06,18-344-400795,2122.5409,134.1575,3.21597106060606
A06,18-344-400795,2180.067,90.109,3.30313181818182
A06,18-344-400795,2279.7971,240.8182,3.45423803030303
A06,18-344-400795,2429.237,125.9466,3.68066212121212
A06,18-344-400795,2469.562,7204.5753,3.74176060606061
A06,18-344-400795,2490.7207,320.7668,3.77381924242424
A06,18-344-400795,2509.5867,7878.9247,3.80240409090909
A06,18-344-400795,2531.177,337.1971,3.83511666666667
A06,18-344-400795,2549.6113,4046.6706,3.86304742424242
A06,18-344-400795,2565.6106,400.4943,3.88728878787879
A06,18-344-400795,2581.6099,0,3.91153015151515
A06,18-344-400795,2588.2889,105.6228,3.92164984848485
A06,18-344-400795,2698.1066,240.8399,4.0880403030303
A06,18-344-400795,2740.104,97.0789,4.15167272727273
A06,18-344-400795,2797.4616,174.5091,4.23857818181818
A06,18-344-400795,2819.3819,138.937,4.27179075757576
A06,18-344-400795,2839.163,236.0583,4.30176212121212
A06,18-344-400795,2936.7191,158.4566,4.44957439393939
A06,18-344-400795,2976.8953,227.5539,4.51044742424242
A06,18-344-400795,2992.8178,305.5333,4.53457242424242
A06,18-344-400795,3032.5446,330.5713,4.59476454545455
A06,18-344-400795,3072.5027,201.8755,4.65530712121212
A06,18-344-400795,3087.9569,4459.5522,4.67872257575758
A06,18-344-400795,3126.6704,150.601,4.73737939393939
A06,18-344-400795,3168.0062,5891.6632,4.80000939393939
A06,18-344-400795,3184.0055,455.8479,4.82425075757576
A06,18-344-400795,3200.0048,121.5583,4.84849212121212
A06,18-344-400795,3206.1731,256.7169,4.85783803030303
A06,18-344-400795,3356.0087,153.8154,5.08486166666667
A06,18-344-400795,3419.7269,66.4192,5.18140439393939
A06,18-344-400795,3492.2705,344.4349,5.29131893939394
A06,18-344-400795,3691.3052,123.0933,5.59288666666667
A06,18-344-400795,3833.1685,346.7055,5.80783106060606
A06,18-344-400795,3913.2001,1429.7923,5.92909106060606
A06,18-344-400795,4155.6354,3995.0893,6.29641727272727
A06,18-344-400795,4171.6347,488.1494,6.32065863636364
A06,18-344-400795,4187.634,260.1158,6.3449
A06,18-344-400795,4343.3483,106.1646,6.58083075757576
A06,18-344-400795,4435.6903,106.7529,6.72074287878788
A06,18-344-400795,4484.9821,128.2074,6.79542742424242
A06,18-344-400795,4774.0303,3430.8536,7.23337924242424
A06,18-344-400795,4790.0296,799.6957,7.25762060606061
A06,18-344-400795,4806.0289,156.2915,7.28186196969697
A06,18-344-400795,4822.0282,63.734,7.30610333333333
A06,18-344-400795,4938.2501,113.6741,7.48219712121212
A06,18-344-400795,4962.5068,95.1611,7.5189496969697
A06,18-344-400795,4978.307,296.7792,7.54288939393939
A06,18-344-400795,5018.2736,296.6919,7.60344484848485
A06,18-344-400795,5058.3672,166.25,7.66419272727273
A06,18-344-400795,5312.376,3292.1328,8.04905454545455
A06,18-344-400795,5328.3753,489.2044,8.07329590909091
A06,18-344-400795,5344.3746,197.8091,8.09753727272727
A06,18-344-400795,5360.3739,33.7364,8.12177863636364
A06,18-344-400795,5368.2368,111.9272,8.13369212121212
A06,18-344-400795,5500.0693,88.4218,8.33343833333333
A06,18-344-400795,5556.1915,112.2321,8.41847196969697
A06,18-344-400795,5596.28,140.6985,8.47921212121212
A06,18-344-400795,5636.4728,213.5243,8.5401103030303
A06,18-344-400795,5676.2374,169.0433,8.6003596969697
A06,18-344-400795,5716.6439,103.9292,8.66158166666667
A06,18-344-400795,6255.5808,86.3458,9.47815272727273
A06,18-344-400795,6664.5034,83.6418,10.0977324242424
A06,18-344-400795,6981.6442,544.7497,10.5782487878788
A06,18-344-400795,7242.9889,96.9302,10.9742256060606
A06,18-344-400795,7322.4942,108.908,11.0946881818182
A07,POS_100,1192.7476,0,1.80719333333333
A07,POS_100,1232.7723,0,1.86783681818182
A07,POS_100,1248.7716,71.3644,1.89207818181818
A07,POS_100,1310.1918,265.9552,1.98513909090909
A07,POS_100,1312.8215,121.5483,1.98912348484848
A07,POS_100,1521.9574,23.9269,2.30599606060606
A07,POS_100,1537.9567,533.3213,2.33023742424242
A07,POS_100,1570.8111,142.0666,2.38001681818182
A07,POS_100,1602.0066,880.355,2.42728272727273
A07,POS_100,1618.0059,502.383,2.45152409090909
A07,POS_100,1836.1522,114.9376,2.78204878787879
A07,POS_100,1873.132,224.4204,2.83807878787879
A07,POS_100,1891.1918,2138.1824,2.86544212121212
A07,POS_100,1907.1911,1478.6627,2.88968348484848
A07,POS_100,2037.7975,127.4449,3.08757196969697
A07,POS_100,2078.3885,131.6644,3.14907348484848
A07,POS_100,2093.8564,227.8785,3.1725096969697
A07,POS_100,2124.9915,138.5247,3.21968409090909
A07,POS_100,2201.4733,237.5648,3.33556560606061
A07,POS_100,2280.2768,283.0531,3.45496484848485
A07,POS_100,2414.078,219.6065,3.65769393939394
A07,POS_100,2430.0424,236.6576,3.68188242424242
A07,POS_100,2469.4731,359.6018,3.74162590909091
A07,POS_100,2509.5867,9483.3838,3.80240409090909
A07,POS_100,2528.6118,208.9777,3.83123
A07,POS_100,2549.6113,858.9189,3.86304742424242
A07,POS_100,2565.6106,6389.3651,3.88728878787879
A07,POS_100,2582.6126,354.7255,3.91304939393939
A07,POS_100,2697.6648,284.6226,4.08737090909091
A07,POS_100,2859.5629,179.4377,4.33267106060606
A07,POS_100,2878.821,0,4.36185
A07,POS_100,2894.8203,121.444,4.38609136363636
A07,POS_100,2910.8196,5228.6084,4.41033272727273
A07,POS_100,2928.845,244.4336,4.43764393939394
A07,POS_100,3032.3433,487.8172,4.59445954545455
A07,POS_100,3088.1651,576.3687,4.67903803030303
A07,POS_100,3167.9277,161.8619,4.79989045454546
A07,POS_100,3200.5405,163.4025,4.84930378787879
A07,POS_100,3377.1715,150.5106,5.11692651515151
A07,POS_100,3433.4011,304.3574,5.20212287878788
A07,POS_100,3497.2159,634.6152,5.29881196969697
A07,POS_100,3513.2152,9609.4735,5.32305333333333
A07,POS_100,3530.0113,715.6408,5.34850196969697
A07,POS_100,3551.1151,323.2378,5.38047742424242
A07,POS_100,3701.2964,313.7838,5.60802484848485
A07,POS_100,3821.3349,142.6357,5.78990136363636
A07,POS_100,3833.0265,124.9151,5.80761590909091
A07,POS_100,3842.2808,131.7714,5.82163757575758
A07,POS_100,3913.2001,3198.2586,5.92909106060606
A07,POS_100,3932.2127,119.476,5.95789803030303
A07,POS_100,4036.3449,195.725,6.11567409090909
A07,POS_100,4156.3294,180.4067,6.29746878787879
A07,POS_100,4381.1012,112.8408,6.63803212121212
A07,POS_100,4400.6544,191.4649,6.66765818181818
A07,POS_100,4418.7581,94.0685,6.69508803030303
A07,POS_100,4436.681,269.3251,6.72224393939394
A07,POS_100,4457.0467,147.8081,6.75310106060606
A07,POS_100,4775.9999,151.7673,7.23636348484848
A07,POS_100,4825.6871,156.0239,7.31164712121212
A07,POS_100,5020.8683,220.7792,7.60737621212121
A07,POS_100,5076.8506,271.3699,7.69219787878788
A07,POS_100,5116.3567,101.7661,7.75205560606061
A07,POS_100,5133.3433,162.0826,7.77779287878788
A07,POS_100,5316.0767,145.2954,8.05466166666667
A07,POS_100,5407.1981,101.7504,8.19272439393939
A07,POS_100,5423.553,224.7436,8.21750454545455
A07,POS_100,5479.803,149.0765,8.30273181818182
A07,POS_100,5825.8877,101.3241,8.82710257575758
A07,POS_100,6028.5276,243.2286,9.13413272727273
A07,POS_100,6085.0142,160.8838,9.21971848484848
A07,POS_100,6431.4571,189.3926,9.74463196969697
A07,POS_100,7038.7905,243.0905,10.6648340909091
A08,18-330-147678,1192.7476,0,1.80719333333333
A08,18-330-147678,1230.7357,0,1.86475106060606
A08,18-330-147678,1232.7723,0,1.86783681818182
A08,18-330-147678,1248.7716,0.4639,1.89207818181818
A08,18-330-147678,1252.9198,51.2633,1.89836333333333
A08,18-330-147678,1312.8215,197.1835,1.98912348484848
A08,18-330-147678,1521.9574,536.6777,2.30599606060606
A08,18-330-147678,1537.9567,18.9901,2.33023742424242
A08,18-330-147678,1570.3849,134.764,2.37937106060606
A08,18-330-147678,1602.0066,703.7902,2.42728272727273
A08,18-330-147678,1618.0059,501.2179,2.45152409090909
A08,18-330-147678,1633.5167,104.9247,2.4750253030303
A08,18-330-147678,1835.9609,142.8135,2.78175893939394
A08,18-330-147678,1865.8446,149.8056,2.82703727272727
A08,18-330-147678,1891.1918,1154.2278,2.86544212121212
A08,18-330-147678,1907.1911,1119.8129,2.88968348484848
A08,18-330-147678,2123.5033,139.3989,3.21742924242424
A08,18-330-147678,2280.1106,370.4018,3.45471303030303
A08,18-330-147678,2414.1178,147.2234,3.65775424242424
A08,18-330-147678,2430.1422,169.2333,3.68203363636364
A08,18-330-147678,2469.3396,289.6837,3.74142363636364
A08,18-330-147678,2509.5867,5416.2683,3.80240409090909
A08,18-330-147678,2549.6113,4913.7612,3.86304742424242
A08,18-330-147678,2565.6106,686.5831,3.88728878787879
A08,18-330-147678,2695.957,109.2294,4.08478333333333
A08,18-330-147678,2878.821,6210.9834,4.36185
A08,18-330-147678,2894.8203,843.4287,4.38609136363636
A08,18-330-147678,2910.8196,52.1914,4.41033272727273
A08,18-330-147678,2916.8776,195.907,4.41951151515152
A08,18-330-147678,2974.1029,100.3859,4.50621651515151
A08,18-330-147678,3016.576,215.9344,4.5705696969697
A08,18-330-147678,3032.8729,351.3716,4.59526196969697
A08,18-330-147678,3069.393,90.3142,4.65059545454545
A08,18-330-147678,3088.0276,423.5617,4.6788296969697
A08,18-330-147678,3168.0114,295.2165,4.80001727272727
A08,18-330-147678,3385.4373,126.5867,5.12945045454545
A08,18-330-147678,3402.2526,259.7652,5.15492818181818
A08,18-330-147678,3497.2159,7285.5982,5.29881196969697
A08,18-330-147678,3513.2152,242.9146,5.32305333333333
A08,18-330-147678,3516.0623,145.534,5.32736712121212
A08,18-330-147678,3536.0183,278.805,5.35760348484849
A08,18-330-147678,3686.1864,247.9817,5.58513090909091
A08,18-330-147678,3824.3059,0,5.79440287878788
A08,18-330-147678,3913.2001,2169.4795,5.92909106060606
A08,18-330-147678,3936.6024,143.2821,5.96454909090909
A08,18-330-147678,3964.8933,117.5231,6.00741409090909
A08,18-330-147678,4006.0511,99.3922,6.06977439393939
A08,18-330-147678,4020.9901,202.7677,6.09240924242424
A08,18-330-147678,4157.5488,215.4294,6.29931636363636
